feature,mean_abs_shap
FONDKAPREMONT_MODE_reg oper spec account,0.0018298499
LIVINGAPARTMENTS_MODE,0.0017542401
OCCUPATION_TYPE_Sales staff,0.001650443
BASEMENTAREA_MODE,0.0016155202
YEARS_BUILD_AVG,0.0016012203
COMMONAREA_MEDI,0.0015913673
REG_REGION_NOT_LIVE_REGION,0.0015502747
YEARS_BEGINEXPLUATATION_MEDI,0.0015102108
max_overdue,0.0014634359
ENTRANCES_AVG,0.0014506672
AMT_REQ_CREDIT_BUREAU_MON,0.0014015982
ENTRANCES_MEDI,0.0013956924
NAME_HOUSING_TYPE_Municipal apartment,0.0013047503
REGION_RATING_CLIENT,0.0012448193
NAME_HOUSING_TYPE_Office apartment,0.0012322308
NONLIVINGAPARTMENTS_AVG,0.0012180782
NAME_TYPE_SUITE_Family,0.0011523371
OCCUPATION_TYPE_Medicine staff,0.0011481555
OCCUPATION_TYPE_Low-skill Laborers,0.0010927559
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.0010673784
NONLIVINGAPARTMENTS_MEDI,0.0010361803
ELEVATORS_MEDI,0.0009974221
YEARS_BUILD_MODE,0.0009716639
NAME_EDUCATION_TYPE_Incomplete higher,0.00090245495
"NAME_TYPE_SUITE_Spouse, partner",0.0008597974
LIVE_CITY_NOT_WORK_CITY,0.000742879
NAME_HOUSING_TYPE_Rented apartment,0.00073167164
FLAG_EMAIL,0.00072733924
FLAG_DOCUMENT_11,0.0006636313
WALLSMATERIAL_MODE_Panel,0.00063634064
AMT_REQ_CREDIT_BUREAU_WEEK,0.00058172975
NAME_INCOME_TYPE_Pensioner,0.0005604674
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.00054469734
EXT_SOURCE_3_MISSING,0.00049614103
BASEMENTAREA_MEDI,0.00049393356
FLOORSMIN_AVG,0.00048160067
AMT_REQ_CREDIT_BUREAU_DAY,0.00034226294
FONDKAPREMONT_MODE_reg oper account,0.00033535116
FLAG_DOCUMENT_6,0.0003217612
OCCUPATION_TYPE_Security staff,0.0002856006
REG_CITY_NOT_WORK_CITY,0.00028112752
FLOORSMIN_MEDI,0.0002628123
OCCUPATION_TYPE_High skill tech staff,0.00026082958
NAME_TYPE_SUITE_Unaccompanied,0.00023032483
FLAG_DOCUMENT_15,0.00020548317
APARTMENTS_AVG_MISSING,0.00018760217
LANDAREA_MEDI_MISSING,0.00017741794
OCCUPATION_TYPE_Cleaning staff,0.00015208623
NAME_FAMILY_STATUS_Widow,0.00011900556
OCCUPATION_TYPE_Private service staff,0.00011568978
FLOORSMIN_MODE,0.00011548382
FLAG_CONT_MOBILE,0.000115465125
WALLSMATERIAL_MODE_Others,9.814998e-05
OCCUPATION_TYPE_Secretaries,9.604999e-05
LIVINGAREA_MODE_MISSING,7.705355e-05
FLAG_DOCUMENT_14,7.610184e-05
FLAG_DOCUMENT_5,5.6017812e-05
OCCUPATION_TYPE_Managers,4.562842e-05
OCCUPATION_TYPE_Realty agents,4.2277923e-05
ELEVATORS_MEDI_MISSING,3.102419e-05
HOUSETYPE_MODE_specific housing,2.4607689e-05
WALLSMATERIAL_MODE_Monolithic,2.191493e-05
CNT_CHILDREN,2.101703e-05
OCCUPATION_TYPE_Cooking staff,1.8695015e-05
OCCUPATION_TYPE_Waiters/barmen staff,1.6064398e-05
WALLSMATERIAL_MODE_Mixed,7.880055e-06
FONDKAPREMONT_MODE_org spec account,4.287571e-06
COMMONAREA_MEDI_MISSING,0.0
COMMONAREA_AVG_MISSING,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_4,0.0
FLAG_MOBIL,0.0
FLAG_EMP_PHONE,0.0
LIVE_REGION_NOT_WORK_REGION,0.0
REG_REGION_NOT_WORK_REGION,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_8,0.0
FLAG_DOCUMENT_9,0.0
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_21,0.0
LIVINGAPARTMENTS_MODE_MISSING,0.0
LIVINGAPARTMENTS_MEDI_MISSING,0.0
FONDKAPREMONT_MODE_MISSING,0.0
NONLIVINGAPARTMENTS_AVG_MISSING,0.0
NONLIVINGAPARTMENTS_MEDI_MISSING,0.0
COMMONAREA_MODE_MISSING,0.0
CODE_GENDER_XNA,0.0
AGE_BUCKET,0.0
EMERGENCYSTATE_MODE_MISSING,0.0
TOTALAREA_MODE_MISSING,0.0
AMT_REQ_CREDIT_BUREAU_QRT_MISSING,0.0
FLOORSMAX_MEDI_MISSING,0.0
YEARS_BEGINEXPLUATATION_MODE_MISSING,0.0
FLOORSMAX_MODE_MISSING,0.0
FLOORSMAX_AVG_MISSING,0.0
YEARS_BEGINEXPLUATATION_AVG_MISSING,0.0
NONLIVINGAREA_MODE_MISSING,0.0
BASEMENTAREA_MODE_MISSING,0.0
BASEMENTAREA_MEDI_MISSING,0.0
NONLIVINGAREA_MEDI_MISSING,0.0
ELEVATORS_MODE_MISSING,0.0
ELEVATORS_AVG_MISSING,0.0
WALLSMATERIAL_MODE_MISSING,0.0
NONLIVINGAREA_AVG_MISSING,0.0
APARTMENTS_MODE_MISSING,0.0
APARTMENTS_MEDI_MISSING,0.0
ENTRANCES_MODE_MISSING,0.0
ENTRANCES_AVG_MISSING,0.0
ENTRANCES_MEDI_MISSING,0.0
LIVINGAREA_AVG_MISSING,0.0
LIVINGAREA_MEDI_MISSING,0.0
HOUSETYPE_MODE_MISSING,0.0
FLOORSMIN_AVG_MISSING,0.0
FLOORSMIN_MODE_MISSING,0.0
YEARS_BUILD_MODE_MISSING,0.0
BASEMENTAREA_AVG_MISSING,0.0
LANDAREA_MODE_MISSING,0.0
LANDAREA_AVG_MISSING,0.0
YEARS_BUILD_AVG_MISSING,0.0
YEARS_BUILD_MEDI_MISSING,0.0
LIVINGAPARTMENTS_AVG_MISSING,0.0
FLOORSMIN_MEDI_MISSING,0.0
YEARS_BEGINEXPLUATATION_MEDI_MISSING,0.0
DAYS_EMPLOYED_MISSING,0.0
AMT_REQ_CREDIT_BUREAU_MON_MISSING,0.0
AMT_REQ_CREDIT_BUREAU_WEEK_MISSING,0.0
AMT_REQ_CREDIT_BUREAU_DAY_MISSING,0.0
AMT_REQ_CREDIT_BUREAU_YEAR_MISSING,0.0
NAME_HOUSING_TYPE_With parents,0.0
NAME_FAMILY_STATUS_Unknown,0.0
NAME_FAMILY_STATUS_Separated,0.0
NAME_TYPE_SUITE_Other_B,0.0
NAME_INCOME_TYPE_Commercial associate,0.0
NAME_INCOME_TYPE_Maternity leave,0.0
NAME_INCOME_TYPE_Unemployed,0.0
NAME_INCOME_TYPE_Student,0.0
NAME_TYPE_SUITE_Group of people,0.0
NAME_TYPE_SUITE_Other_A,0.0
OCCUPATION_TYPE_Laborers,0.0
OCCUPATION_TYPE_HR staff,0.0
OCCUPATION_TYPE_IT staff,0.0
HOUSETYPE_MODE_terraced house,0.0
WALLSMATERIAL_MODE_Wooden,0.0
EMERGENCYSTATE_MODE_Yes,0.0
